animal_id,animal_type,primary_color,secondary_color,sex,dob,intake_date,animal_age,intake_condition,intake_type,intake_subtype,reason_for_intake,outcome_date,outcome_type,outcome_subtype,latitude,longitude
A618968,cat,black,white,Female,2014-12-18,2018-12-18,1461,injured  severe,stray,field,NA,2019-01-13,rescue,littlelion,33.8495009,-118.1949053
A597464,cat,black,NA,Unknown,2017-08-21,2017-09-21,31,under age/weight,stray,field,NA,2017-09-23,rescue,littlelion,33.8801147,-118.20443
A694732,dog,white,tan,Male,2022-12-01,2023-03-16,105,normal,owner surrender,field,NA,2023-03-16,transfer,spcala,33.846061,-118.1936055
A694739,dog,brown,white,Male,2022-12-01,2023-03-16,105,normal,owner surrender,field,NA,2023-03-16,transfer,spcala,33.846061,-118.1936055
A604330,cat,brown,NA,Unknown,NA,2018-03-01,NA,ill severe,stray,field,NA,2018-03-01,euthanasia,ill severe,33.8523843,-118.195835
A675624,bird,white,gray,Unknown,2021-05-24,2022-05-24,365,injured  mild,stray,field,NA,2022-05-26,adoption,social med,33.764574,-118.1666584
A653212,bird,white,gray,Unknown,2020-01-15,2021-01-15,366,normal,stray,field,NA,2021-01-22,rescue,other resc,33.7461607,-118.1189419
A664040,dog,gray,white,Spayed,2020-09-18,2021-09-18,365,normal,stray,field,NA,2021-10-02,adoption,web,33.8557475,-118.1969063
A603548,dog,tan,white,Male,2014-02-08,2018-02-08,1461,normal,stray,field,NA,2018-02-14,transfer,spcala,33.8703458,-118.2020155
A596942,cat,black,white,Neutered,2014-09-12,2017-09-12,1096,feral,stray,field,NA,2018-01-24,rescue,fndanifoun,33.8523859,-118.1955218
A638369,cat,white,gray,Neutered,2017-01-09,2020-01-09,1095,fractious,stray,field,NA,2020-01-14,"shelter, neuter, return",straycatal,33.8460665,-118.1940513
A599028,dog,white,tan,Male,2015-10-20,2017-10-20,731,normal,stray,field,NA,2017-10-27,transfer,spcala,33.849502,-118.1953004
A661532,dog,gray,black,Female,2019-08-09,2021-08-08,730,normal,stray,field,NA,2021-08-11,return to owner,walkin,33.7621679,-118.196966
A708530,dog,black,tan,Neutered,2021-10-10,2023-10-08,728,normal,stray,field,NA,2024-03-10,adoption,web,33.7621679,-118.196966
A680169,dog,gray,white,Spayed,2017-07-18,2022-07-18,1826,aged,stray,field,NA,2023-04-08,adoption,remote evt,33.8775178,-118.2025528
A606962,bird,black,white,Unknown,2017-05-01,2018-05-01,365,ill severe,stray,field,NA,2018-05-08,adoption,NA,33.7684106,-118.1846501
A651197,dog,black,white,Spayed,2018-11-08,2020-11-08,731,normal,stray,field,NA,2020-11-30,transport,other shel,33.7684106,-118.1846501
A605399,dog,tan,NA,Neutered,2007-03-27,2018-03-27,4018,injured  mild,stray,aban field,NA,2018-03-31,euthanasia,ill severe,33.7652208,-118.1675969
A537868,dog,white,NA,Female,2011-12-10,2018-12-19,2566,normal,stray,field,NA,2018-12-20,return to owner,walkin,33.7568894,-118.1358057
A724263,dog,white,NA,Female,2016-07-09,2024-07-09,2922,ill severe,stray,field,NA,2024-07-10,return to owner,from vet,33.8465824,-118.1980555
A632562,cat,black,white,Female,2018-08-25,2019-08-25,365,ill moderatete,stray,field,NA,2019-08-26,euthanasia,at vet,33.8133641,-118.1924891
A628223,dog,brown,NA,Female,2015-06-13,2019-06-13,1461,injured  moderate,stray,field,NA,2019-07-02,rescue,fixlb,33.82216349999999,-118.1926399
